Date,Team,Opp,Home
09/07/2024,PHO,SEA,0
09/07/2024,SEA,PHO,1
09/08/2024,MIN,WAS,0
09/08/2024,WAS,MIN,1
09/08/2024,ATL,IND,0
09/08/2024,IND,ATL,1
09/08/2024,LVA,NYL,0
09/08/2024,NYL,LVA,1
09/08/2024,DAL,CHI,0
09/08/2024,CHI,DAL,1
09/08/2024,CON,LAS,0
09/08/2024,LAS,CON,1
09/10/2024,MIN,ATL,0
09/10/2024,ATL,MIN,1
09/10/2024,NYL,DAL,0
09/10/2024,DAL,NYL,1
09/10/2024,CON,LAS,0
09/10/2024,LAS,CON,1
09/11/2024,LVA,IND,0
09/11/2024,IND,LVA,1
09/11/2024,WAS,CHI,0
09/11/2024,CHI,WAS,1
09/11/2024,SEA,LAS,0
09/11/2024,LAS,SEA,1
09/12/2024,NYL,DAL,0
09/12/2024,DAL,NYL,1
09/13/2024,WAS,ATL,0
09/13/2024,ATL,WAS,1
09/13/2024,LVA,IND,0
09/13/2024,IND,LVA,1
09/13/2024,SEA,DAL,0
09/13/2024,DAL,SEA,1
09/13/2024,CHI,MIN,0
09/13/2024,MIN,CHI,1
09/13/2024,CON,PHO,0
09/13/2024,PHO,CON,1
09/15/2024,DAL,IND,0
09/15/2024,IND,DAL,1
09/15/2024,MIN,NYL,0
09/15/2024,NYL,MIN,1
09/15/2024,ATL,WAS,0
09/15/2024,WAS,ATL,1
09/15/2024,PHO,CHI,0
09/15/2024,CHI,PHO,1
09/15/2024,CON,LVA,0
09/15/2024,LVA,CON,1
09/15/2024,LAS,SEA,0
09/15/2024,SEA,LAS,1
09/17/2024,MIN,CON,0
09/17/2024,CON,MIN,1
09/17/2024,NYL,WAS,0
09/17/2024,WAS,NYL,1
09/17/2024,CHI,ATL,0
09/17/2024,ATL,CHI,1
09/17/2024,LVA,SEA,0
09/17/2024,SEA,LVA,1
09/17/2024,PHO,LAS,0
09/17/2024,LAS,PHO,1
09/19/2024,CHI,CON,0
09/19/2024,CON,CHI,1
09/19/2024,ATL,NYL,0
09/19/2024,NYL,ATL,1
09/19/2024,IND,WAS,0
09/19/2024,WAS,IND,1
09/19/2024,LAS,MIN,0
09/19/2024,MIN,LAS,1
09/19/2024,SEA,PHO,0
09/19/2024,PHO,SEA,1